ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_jas25
2025,07,29531,1,0018,1,1,202507295311001811,,1,1,1,2,,1,81,1,1,27,6,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,7,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,12,2,,2,2,2,1,2,2,10,7,4,,,,,,,,,,,,,1,1119.169584293131
2025,07,29531,1,0020,1,1,202507295311002011,,1,1,1,2,,2,48,1,1,31,3,1977,1,,,,,,,,,,,,,,,,7355,1392,3,5,2,2,1,3,0,8,8,8,8,8,8,48,,48,1,,1,1,1,2,2,400,72,,,,,,,,,,,,,,2,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1732,312,,,,,,,66,2044,2044,2110,1,1011.4126160329216
2025,07,29531,1,0020,1,1,202507295311002012,,2,8,1,2,,1,30,2,2,21,4,1995,1,,,,,,,,,,,,,,,,4416,4641,3,5,1,,3,60,0,8,8,8,8,8,8,48,,48,1,,1,1,1,2,4,1200,,,,,,,,,,,,,,,2,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1200,,,,,,,,300,1200,1200,1500,1,1230.2766495528456
2025,07,2024603,1,0115,1,1,20250720246031011511,,1,1,1,2,,1,41,1,1,12,2,1984,1,,,,,,,,,,,,,,,,4312,6492,3,5,1,,5,501,0,8,8,8,8,8,4,44,,44,1,,2,,2,1,4,3500,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,3500,,,,,,,,438,3500,3500,3938,1,1782.6659236735961
2025,07,2024603,1,0115,1,1,20250720246031011512,,2,2,1,2,,2,36,2,2,27,1,1989,1,,,,,,,,,,,,,,,,4312,6492,3,5,1,,5,2000,0,8,8,8,8,8,4,44,,44,1,,2,,2,2,4,3000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,3000,,,,,,,,375,3000,3000,3375,1,1749.5566371505977
2025,07,2024603,1,0115,1,1,20250720246031011513,,3,6,1,2,,2,60,3,3,5,7,1964,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,10,9,4,,,,,,,,,,,,,1,1465.5328181923767
2025,07,2024603,1,0115,1,1,20250720246031011514,,4,3,1,2,,2,14,4,4,18,6,2011,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,5,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,1,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,1579.115086139442
2025,07,2024603,1,0115,1,1,20250720246031011515,,5,3,1,2,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,07,2024603,1,0115,1,1,20250720246031011516,,6,3,1,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,07,2024603,1,0116,1,1,20250720246031011611,,1,1,1,2,,1,47,1,1,99,99,1978,1,,,,,,,,,,,,,,,,3313,6920,2,,1,,1,1,0,8,10,10,8,10,8,54,,54,1,,2,,2,2,,,,3000,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,3000,,,,,,,3000,3000,3000,1,1621.672232384844
